onset	duration	label
22.94	2.56	eyes_closed	
42.965	2.56	eyes_closed	
46.94	2.56	eyes_closed	
50.465	2.56	eyes_closed	
62.465	2.56	eyes_closed	
65.615	2.56	eyes_closed	
70.73	2.56	eyes_closed	
75.98	2.56	eyes_closed	
79.67	2.56	eyes_closed	
87.995	2.56	eyes_closed	
91.145	2.56	eyes_closed	
98.27	2.56	eyes_closed	
102.275	2.56	eyes_closed	
113.81	2.56	eyes_closed	
125.81	2.56	eyes_closed	
133.445	2.56	eyes_closed	
141.05	2.56	eyes_closed	
150.56	2.56	eyes_closed	
186.905	2.56	eyes_closed	
190.64	2.56	eyes_closed	
