onset	duration	label
196.28	2.56	eyes_closed	
201.65	2.56	eyes_closed	
207.455	2.56	eyes_closed	
220.055	2.56	eyes_closed	
232.055	2.56	eyes_closed	
237.25	2.56	eyes_closed	
247.22	2.56	eyes_closed	
252.185	2.56	eyes_closed	
257.615	2.56	eyes_closed	
263.27	2.56	eyes_closed	
275.27	2.56	eyes_closed	
287.27	2.56	eyes_closed	
301.46	2.56	eyes_closed	
310.745	2.56	eyes_closed	
315.905	2.56	eyes_closed	
320.705	2.56	eyes_closed	
325.16	2.56	eyes_closed	
328.805	2.56	eyes_closed	
340.805	2.56	eyes_closed	
350.075	2.56	eyes_closed	
