onset	duration	label
4.565	2.56	eyes_closed	
12.98	2.56	eyes_closed	
24.98	2.56	eyes_closed	
28.97	2.56	eyes_closed	
35.045	2.56	eyes_closed	
39.65	2.56	eyes_closed	
51.65	2.56	eyes_closed	
57.395	2.56	eyes_closed	
61.43	2.56	eyes_closed	
73.355	2.56	eyes_closed	
82.34	2.56	eyes_closed	
85.715	2.56	eyes_closed	
90.44	2.56	eyes_closed	
97.325	2.56	eyes_closed	
100.025	2.56	eyes_closed	
106.475	2.56	eyes_closed	
115.625	2.56	eyes_closed	
122.075	2.56	eyes_closed	
127.235	2.56	eyes_closed	
139.235	2.56	eyes_closed	
