onset	duration	label
51.33	2.56	eyes_closed	
54.13	2.56	eyes_closed	
95.205	2.56	eyes_closed	
115.23	2.56	eyes_closed	
121.955	2.56	eyes_closed	
132.42	2.56	eyes_closed	
157.07	2.56	eyes_closed	
174.88	2.56	eyes_closed	
177.755	2.56	eyes_closed	
193.48	2.56	eyes_closed	
203.205	2.56	eyes_closed	
224.275	2.56	eyes_closed	
238.47	2.56	eyes_closed	
350.995	2.56	eyes_closed	
354.195	2.56	eyes_closed	
357.97	2.56	eyes_closed	
369.645	2.56	eyes_closed	
378.22	2.56	eyes_closed	
415.645	2.56	eyes_closed	
434.525	2.56	eyes_closed	
459.245	2.56	eyes_closed	
472.995	2.56	eyes_closed	
490.995	2.56	eyes_closed	
557.895	2.56	eyes_closed	
594.995	2.56	eyes_closed	
694.145	2.51	eyes_closed	
699.295	2.56	eyes_closed	
712.095	2.56	eyes_closed	
721.195	2.56	eyes_closed	
724.27	2.56	eyes_closed	
751.32	2.56	eyes_closed	
