onset	duration	label
0.005	2.56	eyes_closed	
5.405	2.56	eyes_closed	
41.405	2.56	eyes_closed	
47.225	2.56	eyes_closed	
83.225	2.56	eyes_closed	
155.225	2.56	eyes_closed	
184.865	2.56	eyes_closed	
208.865	2.56	eyes_closed	
232.865	2.56	eyes_closed	
242.585	2.56	eyes_closed	
249.02	2.56	eyes_closed	
256.43	2.56	eyes_closed	
269.24	2.56	eyes_closed	
280.865	2.56	eyes_closed	
292.865	2.56	eyes_closed	
304.865	2.56	eyes_closed	
321.85	2.56	eyes_closed	
329.54	2.56	eyes_closed	
333.85	2.56	eyes_closed	
358.69	2.56	eyes_closed	
