onset	duration	label
12.275	2.56	eyes_closed	
17.495	2.56	eyes_closed	
55.04	2.56	eyes_closed	
134.33	2.56	eyes_closed	
532.28	2.56	eyes_closed	
546.245	2.56	eyes_closed	
552.035	2.56	eyes_closed	
605.24	2.56	eyes_closed	
641.555	2.56	eyes_closed	
652.355	2.56	eyes_closed	
673.955	2.56	eyes_closed	
695.555	2.56	eyes_closed	
738.755	2.56	eyes_closed	
764.645	2.56	eyes_closed	
772.79	2.56	eyes_closed	
800.24	2.56	eyes_closed	
811.04	2.56	eyes_closed	
836.45	2.56	eyes_closed	
858.05	2.56	eyes_closed	
898.625	2.56	eyes_closed	
919.64	2.56	eyes_closed	
941.09	2.56	eyes_closed	
962.69	2.56	eyes_closed	
1016.69	2.56	eyes_closed	
