onset	duration	label
8.165	2.56	eyes_closed	
11.615	2.56	eyes_closed	
27.695	2.56	eyes_closed	
45.95	2.56	eyes_closed	
49.415	2.56	eyes_closed	
52.955	2.56	eyes_closed	
56.795	2.56	eyes_closed	
61.97	2.56	eyes_closed	
66.38	2.56	eyes_closed	
74.675	2.56	eyes_closed	
78.155	2.56	eyes_closed	
81.965	2.56	eyes_closed	
85.46	2.56	eyes_closed	
103.26	2.56	eyes_closed	
116.21	2.56	eyes_closed	
119.615	2.56	eyes_closed	
124.1	2.56	eyes_closed	
138.68	2.56	eyes_closed	
153.635	2.56	eyes_closed	
157.52	2.56	eyes_closed	
