onset	duration	label
6.545	2.56	OJOS_CERRADOS	
11.105	2.56	OJOS_CERRADOS	
23.93	2.56	OJOS_CERRADOS	
47.54	2.56	OJOS_CERRADOS	
54.185	2.56	OJOS_CERRADOS	
64.985	2.56	OJOS_CERRADOS	
84.68	2.56	OJOS_CERRADOS	
160.465	2.56	OJOS_CERRADOS	
189.44	2.56	OJOS_CERRADOS	
206.345	2.56	OJOS_CERRADOS	
218.81	2.56	OJOS_CERRADOS	
368.625	2.56	OJOS_CERRADOS	
469.65	2.56	OJOS_CERRADOS	
593.19	2.56	OJOS_CERRADOS	
608.515	2.56	OJOS_CERRADOS	
627.335	2.56	OJOS_CERRADOS	
653.17	2.56	OJOS_CERRADOS	
671.87	2.56	OJOS_CERRADOS	
795.195	2.56	OJOS_CERRADOS	
899.625	2.56	OJOS_CERRADOS	
1047.01	2.56	OJOS_CERRADOS	
1057.81	2.56	OJOS_CERRADOS	
1181.94	2.56	OJOS_CERRADOS	
1257.31	2.56	OJOS_CERRADOS	
1288.5	2.56	OJOS_CERRADOS	
1308.7	2.56	OJOS_CERRADOS	
1380.92	2.56	OJOS_CERRADOS	
1391.71	2.56	OJOS_CERRADOS	
1545.41	2.56	OJOS_CERRADOS	
1578.39	2.56	OJOS_CERRADOS	
1583.08	2.56	OJOS_CERRADOS	
1604.16	2.56	OJOS_CERRADOS	
1610.13	2.56	OJOS_CERRADOS	
1620.82	2.56	OJOS_CERRADOS	
1635.83	2.56	OJOS_CERRADOS	
1665.97	2.56	OJOS_CERRADOS	
