onset	duration	label
175.01	2.56	eyes_closed	
270.275	2.56	eyes_closed	
359.615	2.56	eyes_closed	
362.57	2.56	eyes_closed	
380.945	2.56	eyes_closed	
383.735	2.56	eyes_closed	
396.11	2.56	eyes_closed	
418.21	2.56	eyes_closed	
429.94	2.56	eyes_closed	
443.015	2.56	eyes_closed	
464.69	2.56	eyes_closed	
469.095	2.56	eyes_closed	
529.31	2.56	eyes_closed	
538.13	2.56	eyes_closed	
575	2.56	eyes_closed	
586.705	2.56	eyes_closed	
591.755	2.56	eyes_closed	
607.725	2.56	eyes_closed	
625.04	2.56	eyes_closed	
630.115	2.56	eyes_closed	
635.585	2.56	eyes_closed	
728.125	2.56	eyes_closed	
737.645	2.56	eyes_closed	
760.985	2.56	eyes_closed	
859.25	2.56	eyes_closed	
899.23	2.56	eyes_closed	
