onset	duration	label
6.005	2.56	eyes_closed	
10.535	2.56	eyes_closed	
13.895	2.56	eyes_closed	
19.895	2.56	eyes_closed	
27.05	2.56	eyes_closed	
32.705	2.56	eyes_closed	
39.56	2.56	eyes_closed	
42.71	2.56	eyes_closed	
47.51	2.56	eyes_closed	
51.095	2.56	eyes_closed	
60.485	2.56	eyes_closed	
65.645	2.56	eyes_closed	
70.565	2.56	eyes_closed	
85.85	2.56	eyes_closed	
91.115	2.56	eyes_closed	
97.985	2.56	eyes_closed	
102.845	2.56	eyes_closed	
107.75	2.56	eyes_closed	
113.69	2.56	eyes_closed	
125.69	2.56	eyes_closed	
