onset	duration	label
132.455	2.56	eyes_closed	
136.34	2.56	eyes_closed	
151.97	2.56	eyes_closed	
157.13	2.56	eyes_closed	
163.025	2.56	eyes_closed	
170.48	2.56	eyes_closed	
173.945	2.56	eyes_closed	
180.275	2.56	eyes_closed	
184.145	2.56	eyes_closed	
190.13	2.56	eyes_closed	
196.25	2.56	eyes_closed	
220.25	2.56	eyes_closed	
240.08	2.56	eyes_closed	
252.08	2.56	eyes_closed	
269.21	2.56	eyes_closed	
277.025	2.56	eyes_closed	
289.025	2.56	eyes_closed	
293.99	2.56	eyes_closed	
301.955	2.56	eyes_closed	
310.805	2.56	eyes_closed	
