onset	duration	label
18.325	2.56	eyes_closed	
30.585	2.56	eyes_closed	
37.065	2.56	eyes_closed	
52.105	2.56	eyes_closed	
58.885	2.56	eyes_closed	
83.625	2.56	eyes_closed	
116.985	2.56	eyes_closed	
123.505	2.56	eyes_closed	
137.905	2.56	eyes_closed	
166.705	2.56	eyes_closed	
181.105	2.56	eyes_closed	
189.625	2.56	eyes_closed	
197.465	2.56	eyes_closed	
218.125	2.56	eyes_closed	
232.525	2.56	eyes_closed	
261.325	2.56	eyes_closed	
290.125	2.56	eyes_closed	
306.805	2.56	eyes_closed	
338.945	2.56	eyes_closed	
362.305	2.56	eyes_closed	
371.505	2.56	eyes_closed	
392.965	2.56	eyes_closed	
461.865	2.56	eyes_closed	
471.065	2.56	eyes_closed	
