onset	duration	label
5.24	2.56	eyes_closed	
9.14	2.56	eyes_closed	
13.355	2.56	eyes_closed	
16.91	2.56	eyes_closed	
20.54	2.56	eyes_closed	
25.58	2.56	eyes_closed	
37.58	2.56	eyes_closed	
43.94	2.56	eyes_closed	
49.7	2.56	eyes_closed	
66.605	2.56	eyes_closed	
78.605	2.56	eyes_closed	
83.33	2.56	eyes_closed	
88.31	2.56	eyes_closed	
92.15	2.56	eyes_closed	
95.57	2.56	eyes_closed	
102.59	2.56	eyes_closed	
109.22	2.56	eyes_closed	
125.465	2.56	eyes_closed	
137.465	2.56	eyes_closed	
141.95	2.56	eyes_closed	
