onset	duration	label
7.205	2.56	eyes_closed	
10.805	2.56	eyes_closed	
22.69	2.56	eyes_closed	
32.405	2.56	eyes_closed	
115.205	2.56	eyes_closed	
126.005	2.56	eyes_closed	
241.205	2.56	eyes_closed	
259.205	2.56	eyes_closed	
262.805	2.56	eyes_closed	
270.005	2.56	eyes_closed	
392.405	2.56	eyes_closed	
403.205	2.56	eyes_closed	
453.605	2.56	eyes_closed	
457.205	2.56	eyes_closed	
576.005	2.56	eyes_closed	
586.805	2.56	eyes_closed	
604.805	2.56	eyes_closed	
640.805	2.56	eyes_closed	
676.805	2.56	eyes_closed	
