onset	duration	label
285.53	2.56	eyes_closed	
289.945	2.56	eyes_closed	
296.06	2.56	eyes_closed	
301.4	2.56	eyes_closed	
305.51	2.56	eyes_closed	
310.865	2.56	eyes_closed	
387.005	2.56	eyes_closed	
390.94	2.56	eyes_closed	
489.385	2.56	eyes_closed	
493.485	2.56	eyes_closed	
506.985	2.56	eyes_closed	
534.615	2.56	eyes_closed	
539.83	2.56	eyes_closed	
543.03	2.56	eyes_closed	
557.26	2.56	eyes_closed	
561.07	2.56	eyes_closed	
601.995	2.56	eyes_closed	
624.02	2.56	eyes_closed	
659.52	2.56	eyes_closed	
694.315	2.56	eyes_closed	
697.185	2.56	eyes_closed	
766.97	2.56	eyes_closed	
774.17	2.56	eyes_closed	
