onset	duration	label
92.69	2.56	eyes_closed	
98.675	2.56	eyes_closed	
124.295	2.56	eyes_closed	
133.64	2.56	eyes_closed	
155.24	2.56	eyes_closed	
190.625	2.56	eyes_closed	
212.87	2.56	eyes_closed	
239.54	2.56	eyes_closed	
245.27	2.56	eyes_closed	
261.335	2.56	eyes_closed	
266.53	2.56	eyes_closed	
277.055	2.56	eyes_closed	
293.81	2.56	eyes_closed	
320.54	2.56	eyes_closed	
417.74	2.56	eyes_closed	
428.54	2.56	eyes_closed	
458.18	2.545	eyes_closed	
490.565	2.56	eyes_closed	
515.315	2.56	eyes_closed	
523.955	2.56	eyes_closed	
534.755	2.56	eyes_closed	
