onset	duration	label
4.54	2.56	eyes_closed	
21.665	2.56	eyes_closed	
47.67	2.56	eyes_closed	
69.27	2.56	eyes_closed	
97.235	2.56	eyes_closed	
108.51	2.56	eyes_closed	
112.11	2.56	eyes_closed	
148.11	2.56	eyes_closed	
170.56	2.56	eyes_closed	
181.36	2.56	eyes_closed	
192.125	2.56	eyes_closed	
209.79	2.56	eyes_closed	
238.59	2.56	eyes_closed	
242.19	2.56	eyes_closed	
277.725	2.56	eyes_closed	
292.125	2.56	eyes_closed	
317.325	2.56	eyes_closed	
555.29	2.56	eyes_closed	
641.69	2.56	eyes_closed	
