onset	duration	label
6.005	2.56	eyes_closed	
13.415	2.56	eyes_closed	
19.55	2.56	eyes_closed	
25.49	2.56	eyes_closed	
32.96	2.56	eyes_closed	
39.965	2.56	eyes_closed	
108.26	2.56	eyes_closed	
111.775	2.56	eyes_closed	
115.48	2.56	eyes_closed	
119.51	2.56	eyes_closed	
155.51	2.56	eyes_closed	
172.13	2.56	eyes_closed	
178.175	2.56	eyes_closed	
182.675	2.56	eyes_closed	
185.495	2.56	eyes_closed	
188.47	2.56	eyes_closed	
191.5	2.56	eyes_closed	
197.945	2.56	eyes_closed	
203.285	2.56	eyes_closed	
210.31	2.56	eyes_closed	
