onset	duration	label
6.005	2.56	eyes_closed	
21.365	2.56	eyes_closed	
24.615	2.56	eyes_closed	
28.13	2.56	eyes_closed	
31.46	2.56	eyes_closed	
34.975	2.56	eyes_closed	
47.495	2.56	eyes_closed	
90.155	2.56	eyes_closed	
97.085	2.56	eyes_closed	
103.565	2.56	eyes_closed	
110.525	2.56	eyes_closed	
119.675	2.56	eyes_closed	
131.675	2.56	eyes_closed	
143.675	2.56	eyes_closed	
191.675	2.56	eyes_closed	
216.005	2.56	eyes_closed	
236.3	2.56	eyes_closed	
242.105	2.56	eyes_closed	
269.375	2.56	eyes_closed	
287.33	2.56	eyes_closed	
