onset	duration	label
4.97	2.56	eyes_closed	
22.685	2.56	eyes_closed	
27.035	2.56	eyes_closed	
48.635	2.56	eyes_closed	
65.78	2.56	eyes_closed	
77.67	2.56	eyes_closed	
111.57	2.56	eyes_closed	
118.32	2.56	eyes_closed	
123.935	2.56	eyes_closed	
222.815	2.56	eyes_closed	
231.395	2.56	eyes_closed	
303.685	2.56	eyes_closed	
317.69	2.56	eyes_closed	
380.72	2.56	eyes_closed	
405.695	2.56	eyes_closed	
425.405	2.56	eyes_closed	
500.885	2.56	eyes_closed	
507.71	2.56	eyes_closed	
510.86	2.56	eyes_closed	
522.69	2.56	eyes_closed	
532.515	2.56	eyes_closed	
542.605	2.56	eyes_closed	
564.47	2.56	eyes_closed	
