onset	duration	label
29.935	2.56	eyes_closed	
54.5	2.56	eyes_closed	
61.565	2.56	eyes_closed	
64.285	2.56	eyes_closed	
83.745	2.56	eyes_closed	
87.7	2.56	eyes_closed	
102.755	2.56	eyes_closed	
110.15	2.56	eyes_closed	
112.79	2.56	eyes_closed	
120.33	2.56	eyes_closed	
151.985	2.56	eyes_closed	
154.78	2.56	eyes_closed	
174.675	2.56	eyes_closed	
223.085	2.56	eyes_closed	
233.87	2.56	eyes_closed	
253.615	2.56	eyes_closed	
303.945	2.56	eyes_closed	
314.43	2.56	eyes_closed	
321.05	2.56	eyes_closed	
377.465	2.56	eyes_closed	
446.435	2.56	eyes_closed	
489.615	2.56	eyes_closed	
540.185	2.56	eyes_closed	
651.205	2.56	eyes_closed	
