onset	duration	label
28.55	2.56	eyes_closed	
34.435	2.56	eyes_closed	
47.315	2.56	eyes_closed	
53.63	2.56	eyes_closed	
57.305	2.56	eyes_closed	
60.455	2.56	eyes_closed	
64.28	2.56	eyes_closed	
76.525	2.56	eyes_closed	
80.54	2.56	eyes_closed	
83.93	2.56	eyes_closed	
107.93	2.56	eyes_closed	
119.93	2.56	eyes_closed	
143.93	2.56	eyes_closed	
147.41	2.56	eyes_closed	
158.72	2.56	eyes_closed	
171.14	2.56	eyes_closed	
177.74	2.56	eyes_closed	
189.1	2.56	eyes_closed	
216.55	2.56	eyes_closed	
219.835	2.56	eyes_closed	
