onset	duration	label
0.285	2.56	eyes_closed	
7.485	2.56	eyes_closed	
11.085	2.56	eyes_closed	
18.285	2.56	eyes_closed	
33.16	2.56	eyes_closed	
40.53	2.56	eyes_closed	
69.195	2.56	eyes_closed	
72.93	2.56	eyes_closed	
88.04	2.56	eyes_closed	
98.84	2.56	eyes_closed	
108.645	2.56	eyes_closed	
112.53	2.56	eyes_closed	
141.395	2.56	eyes_closed	
165.555	2.56	eyes_closed	
196.77	2.56	eyes_closed	
211.5	2.56	eyes_closed	
231.5	2.56	eyes_closed	
302.435	2.56	eyes_closed	
381.79	2.56	eyes_closed	
499.465	2.56	eyes_closed	
521.065	2.56	eyes_closed	
618.265	2.56	eyes_closed	
659.9	2.56	eyes_closed	
737.185	2.56	eyes_closed	
741.405	2.56	eyes_closed	
