onset	duration	label
164.45	2.56	eyes_closed	
177.455	2.56	eyes_closed	
256.245	2.56	eyes_closed	
265.245	2.56	eyes_closed	
327.065	2.56	eyes_closed	
339.205	2.56	eyes_closed	
342.445	2.56	eyes_closed	
361.665	2.56	eyes_closed	
367.265	2.56	eyes_closed	
381.665	2.56	eyes_closed	
397.125	2.56	eyes_closed	
421.365	2.56	eyes_closed	
450.165	2.56	eyes_closed	
469.385	2.56	eyes_closed	
501.145	2.56	eyes_closed	
518.645	2.56	eyes_closed	
526.965	2.56	eyes_closed	
538.625	2.56	eyes_closed	
585.335	2.56	eyes_closed	
600.085	2.56	eyes_closed	
628.885	2.56	eyes_closed	
637.125	2.56	eyes_closed	
640.105	2.56	eyes_closed	
658.905	2.56	eyes_closed	
664.405	2.56	eyes_closed	
