onset	duration	label
186.815	2.56	eyes_closed	
500.39	2.56	eyes_closed	
504.455	2.56	eyes_closed	
514.37	2.56	eyes_closed	
530.285	2.56	eyes_closed	
541.985	2.56	eyes_closed	
655.835	2.56	eyes_closed	
665.195	2.56	eyes_closed	
742.485	2.56	eyes_closed	
818.195	2.56	eyes_closed	
885.795	2.56	eyes_closed	
952.4	2.56	eyes_closed	
972.92	2.56	eyes_closed	
978.815	2.56	eyes_closed	
1008.73	2.56	eyes_closed	
1051.71	2.56	eyes_closed	
1069.1	2.56	eyes_closed	
1085.28	2.56	eyes_closed	
1089.4	2.56	eyes_closed	
1131.28	2.56	eyes_closed	
