onset	duration	label
35.83	2.56	eyes_closed	
47.83	2.56	eyes_closed	
59.83	2.56	eyes_closed	
74.725	2.56	eyes_closed	
79.72	2.56	eyes_closed	
110.725	2.56	eyes_closed	
116.725	2.56	eyes_closed	
146.725	2.56	eyes_closed	
149.645	2.56	eyes_closed	
152.725	2.56	eyes_closed	
159.82	2.56	eyes_closed	
165.22	2.56	eyes_closed	
170.725	2.56	eyes_closed	
178.105	2.56	eyes_closed	
183.685	2.56	eyes_closed	
203.68	2.56	eyes_closed	
215.68	2.56	eyes_closed	
227.68	2.56	eyes_closed	
233.87	2.56	eyes_closed	
298.655	2.56	eyes_closed	
