onset	duration	label
121.985	2.56	eyes_closed	
239	2.56	eyes_closed	
262.585	2.56	eyes_closed	
270.985	2.56	eyes_closed	
284.575	2.56	eyes_closed	
490.58	2.56	eyes_closed	
497.105	2.56	eyes_closed	
500.03	2.56	eyes_closed	
505.235	2.56	eyes_closed	
511.04	2.56	eyes_closed	
514.7	2.56	eyes_closed	
532.505	2.56	eyes_closed	
535.445	2.56	eyes_closed	
541.085	2.56	eyes_closed	
545.09	2.56	eyes_closed	
551.78	2.56	eyes_closed	
556.22	2.56	eyes_closed	
558.83	2.56	eyes_closed	
562.73	2.56	eyes_closed	
586.965	2.56	eyes_closed	
589.925	2.56	eyes_closed	
598.145	2.56	eyes_closed	
602.48	2.56	eyes_closed	
810.565	2.56	eyes_closed	
892.895	2.56	eyes_closed	
1439.99	2.56	eyes_closed	
1458.2	2.56	eyes_closed	
