onset	duration	label
600.815	2.56	eyes_closed	
626.435	2.56	eyes_closed	
639.05	2.56	eyes_closed	
643.49	2.56	eyes_closed	
648.595	2.56	eyes_closed	
653.63	2.56	eyes_closed	
660.53	2.56	eyes_closed	
677.225	2.56	eyes_closed	
681.88	2.56	eyes_closed	
695.42	2.56	eyes_closed	
726.74	2.56	eyes_closed	
758.75	2.56	eyes_closed	
770.735	2.56	eyes_closed	
779.275	2.56	eyes_closed	
786.38	2.56	eyes_closed	
799.205	2.56	eyes_closed	
834.635	2.56	eyes_closed	
873.105	2.56	eyes_closed	
925.95	2.56	eyes_closed	
961.85	2.56	eyes_closed	
975.405	2.56	eyes_closed	
1015.16	2.56	eyes_closed	
