onset	duration	label
10.805	2.56	eyes_closed	
38.075	2.56	eyes_closed	
57.68	2.56	eyes_closed	
71.035	2.09	eyes_closed	
76.73	2.56	eyes_closed	
111.085	2.56	eyes_closed	
135.815	2.56	eyes_closed	
143.495	2.56	eyes_closed	
153.585	2.56	eyes_closed	
165.095	2.56	eyes_closed	
176.275	2.56	eyes_closed	
202.325	2.56	eyes_closed	
242.525	2.56	eyes_closed	
253.11	2.56	eyes_closed	
277.285	2.56	eyes_closed	
288.08	2.56	eyes_closed	
320.48	2.56	eyes_closed	
325.16	2.56	eyes_closed	
331.28	2.56	eyes_closed	
382.61	2.56	eyes_closed	
393.41	2.56	eyes_closed	
