onset	duration	label
16.205	2.56	vigilia_ojos_abiertos	
21.53	2.56	vigilia_ojos_abiertos	
41.28	2.56	vigilia_ojos_abiertos	
52.465	2.56	vigilia_ojos_abiertos	
65.325	2.56	vigilia_ojos_abiertos	
76.57	2.56	vigilia_ojos_abiertos	
127.64	2.56	vigilia_ojos_abiertos	
142.33	2.56	vigilia_ojos_abiertos	
147.895	2.56	vigilia_ojos_abiertos	
216.23	2.56	vigilia_ojos_abiertos	
420.555	2.56	vigilia_ojos_abiertos	
447.66	2.56	vigilia_ojos_abiertos	
456.69	2.56	vigilia_ojos_abiertos	
470.8	2.56	vigilia_ojos_abiertos	
481.13	2.56	vigilia_ojos_abiertos	
