onset	duration	label
5.045	2.56	eyes_closed	
16.785	2.56	eyes_closed	
30.43	2.56	eyes_closed	
68.285	2.56	eyes_closed	
111.925	2.56	eyes_closed	
143.6	2.56	eyes_closed	
155.265	2.56	eyes_closed	
175.675	2.56	eyes_closed	
194.48	2.56	eyes_closed	
199.67	2.56	eyes_closed	
277.69	2.56	eyes_closed	
288.485	2.56	eyes_closed	
302.375	2.56	eyes_closed	
324.005	2.56	eyes_closed	
342.56	2.56	eyes_closed	
374.96	2.56	eyes_closed	
461.77	2.56	eyes_closed	
472.565	2.56	eyes_closed	
515.765	2.56	eyes_closed	
613.355	2.56	eyes_closed	
630.185	2.56	eyes_closed	
637.13	2.56	eyes_closed	
