onset	duration	label
5.78	2.56	eyes_closed	
15.695	2.56	eyes_closed	
18.5	2.56	eyes_closed	
26.825	2.56	eyes_closed	
29.8	2.56	eyes_closed	
44.945	2.56	eyes_closed	
48.095	2.56	eyes_closed	
55.4	2.56	eyes_closed	
69.575	2.56	eyes_closed	
74.18	2.56	eyes_closed	
84.02	2.56	eyes_closed	
96.02	2.56	eyes_closed	
100.38	2.56	eyes_closed	
108.935	2.56	eyes_closed	
121.04	2.56	eyes_closed	
133.04	2.56	eyes_closed	
140.57	2.56	eyes_closed	
152.555	2.56	eyes_closed	
173.855	2.56	eyes_closed	
185.855	2.56	eyes_closed	
