onset	duration	label
4.415	2.56	eyes_closed	
15.215	2.56	eyes_closed	
23.36	2.56	eyes_closed	
35.745	2.56	eyes_closed	
46.73	2.56	eyes_closed	
54.59	2.56	eyes_closed	
67.74	2.56	eyes_closed	
82.1	2.56	eyes_closed	
88.43	2.56	eyes_closed	
108.65	2.56	eyes_closed	
148.25	2.56	eyes_closed	
156.11	2.56	eyes_closed	
201.665	2.56	eyes_closed	
230.92	2.56	eyes_closed	
241.085	2.56	eyes_closed	
265.82	2.56	eyes_closed	
285.02	2.56	eyes_closed	
340.21	2.56	eyes_closed	
351.005	2.56	eyes_closed	
358.64	2.56	eyes_closed	
372.59	2.56	eyes_closed	
380.285	2.56	eyes_closed	
394.37	2.56	eyes_closed	
404.06	2.56	eyes_closed	
428.66	2.56	eyes_closed	
439.46	2.56	eyes_closed	
447.23	2.56	eyes_closed	
460.59	2.56	eyes_closed	
471.605	2.56	eyes_closed	
510.545	2.56	eyes_closed	
521.345	2.56	eyes_closed	
556.745	2.56	eyes_closed	
567.545	2.56	eyes_closed	
612.365	2.56	eyes_closed	
632.895	2.56	eyes_closed	
643.04	2.56	eyes_closed	
699.19	2.56	eyes_closed	
717.755	2.56	eyes_closed	
732.545	2.56	eyes_closed	
