onset	duration	label
3.32	2.56	eyes_closed	
14.33	2.56	eyes_closed	
19.835	2.56	eyes_closed	
31.835	2.56	eyes_closed	
37.835	2.56	eyes_closed	
43.835	2.56	eyes_closed	
55.835	2.56	eyes_closed	
67.835	2.56	eyes_closed	
79.835	2.56	eyes_closed	
84.59	2.56	eyes_closed	
90.83	2.56	eyes_closed	
96.785	2.56	eyes_closed	
100.685	2.56	eyes_closed	
119.42	2.56	eyes_closed	
125.39	2.56	eyes_closed	
137.39	2.56	eyes_closed	
143.39	2.56	eyes_closed	
151.37	2.56	eyes_closed	
163.37	2.56	eyes_closed	
175.37	2.56	eyes_closed	
