onset	duration	label
0.19	2.65	eyes_closed	
25.46	3.95	eyes_closed	
33.36	3.15	eyes_closed	
64.075	3.64	eyes_closed	
84.615	2.895	eyes_closed	
94.515	2.905	eyes_closed	
100.15	3.41	eyes_closed	
106.18	3.72	eyes_closed	
116.2	2.85	eyes_closed	
141.52	4.24	eyes_closed	
154.065	4.43	eyes_closed	
162.84	3.11	eyes_closed	
177.815	3.95	eyes_closed	
191.16	2.8	eyes_closed	
196.905	2.935	eyes_closed	
200.125	3.065	eyes_closed	
220.08	6.155	eyes_closed	
228.785	2.96	eyes_closed	
261.36	3.555	eyes_closed	
266.425	3.105	eyes_closed	
298.67	3.61	eyes_closed	
303.995	3.475	eyes_closed	
326.38	3.44	eyes_closed	
330.155	4.455	eyes_closed	
