onset	duration	label
61.605	2.56	eyes_closed	
95.985	2.56	eyes_closed	
110.385	2.56	eyes_closed	
117.305	2.56	eyes_closed	
132.3	2.56	eyes_closed	
150.565	2.56	eyes_closed	
194.245	2.56	eyes_closed	
208.645	2.56	eyes_closed	
216.945	2.56	eyes_closed	
225.685	2.56	eyes_closed	
236.545	2.56	eyes_closed	
262.345	2.56	eyes_closed	
281.785	2.56	eyes_closed	
296.485	2.56	eyes_closed	
305.105	2.56	eyes_closed	
398.005	2.56	eyes_closed	
405.965	2.56	eyes_closed	
479.285	2.56	eyes_closed	
516.165	2.56	eyes_closed	
