onset	duration	label
60.65	2.56	eyes_closed	
64.805	2.56	eyes_closed	
67.445	2.56	eyes_closed	
71.285	2.56	eyes_closed	
75.815	2.56	eyes_closed	
78.86	2.56	eyes_closed	
83.795	2.56	eyes_closed	
92.325	2.56	eyes_closed	
102.38	2.56	eyes_closed	
126.995	2.56	eyes_closed	
130.82	2.56	eyes_closed	
135.695	2.56	eyes_closed	
340.895	2.56	eyes_closed	
370.355	2.56	eyes_closed	
414.38	2.56	eyes_closed	
425.18	2.56	eyes_closed	
448.27	2.56	eyes_closed	
456.755	2.56	eyes_closed	
493.015	2.56	eyes_closed	
507.665	2.56	eyes_closed	
530.6	2.56	eyes_closed	
561.605	2.56	eyes_closed	
583.665	2.56	eyes_closed	
609.125	2.56	eyes_closed	
622.805	2.56	eyes_closed	
627.24	2.56	eyes_closed	
