onset	duration	label
60.14	2.56	eyes_closed	
67.82	2.56	eyes_closed	
70.94	2.56	eyes_closed	
78.62	2.56	eyes_closed	
82.985	2.56	eyes_closed	
86.99	2.56	eyes_closed	
93.785	2.56	eyes_closed	
103.835	2.56	eyes_closed	
111.485	2.56	eyes_closed	
114.635	2.56	eyes_closed	
146	2.56	eyes_closed	
156.8	2.56	eyes_closed	
221.6	2.56	eyes_closed	
254	2.56	eyes_closed	
325.52	2.56	eyes_closed	
328.58	2.56	eyes_closed	
345.965	2.56	eyes_closed	
353.12	2.56	eyes_closed	
374.675	2.56	eyes_closed	
425.54	2.56	eyes_closed	
446.675	2.56	eyes_closed	
461.16	2.56	eyes_closed	
504.515	2.56	eyes_closed	
653.765	2.56	eyes_closed	
670.28	2.56	eyes_closed	
