onset	duration	label
41.825	2.56	eyes_closed	
48.215	2.56	eyes_closed	
59.975	2.56	eyes_closed	
72.635	2.56	eyes_closed	
154.835	2.56	eyes_closed	
171.335	2.56	eyes_closed	
180.4	2.56	eyes_closed	
189.35	2.56	eyes_closed	
200.15	2.56	eyes_closed	
226.895	2.56	eyes_closed	
255.65	2.56	eyes_closed	
266.45	2.56	eyes_closed	
269.285	2.56	eyes_closed	
274.91	2.56	eyes_closed	
327.05	2.56	eyes_closed	
349.335	2.56	eyes_closed	
384.14	2.56	eyes_closed	
388.04	2.56	eyes_closed	
392.195	2.56	eyes_closed	
453.56	2.56	eyes_closed	
459.105	2.56	eyes_closed	
479.035	2.56	eyes_closed	
547.25	2.56	eyes_closed	
568.64	2.56	eyes_closed	
613.115	2.575	eyes_closed	
621.545	2.575	eyes_closed	
