onset	duration	label
11.975	2.56	eyes_closed	
15.05	2.56	eyes_closed	
33.05	2.56	eyes_closed	
45.05	2.56	eyes_closed	
48.2	2.56	eyes_closed	
51.005	2.56	eyes_closed	
59.645	2.56	eyes_closed	
71.645	2.56	eyes_closed	
87.215	2.56	eyes_closed	
93.215	2.56	eyes_closed	
102.365	2.56	eyes_closed	
104.985	2.56	eyes_closed	
110.385	2.56	eyes_closed	
121.58	2.56	eyes_closed	
169.58	2.56	eyes_closed	
181.58	2.56	eyes_closed	
184.265	2.56	eyes_closed	
187.24	2.56	eyes_closed	
199.235	2.56	eyes_closed	
202.75	2.56	eyes_closed	
218	2.56	eyes_closed	
272	2.56	eyes_closed	
