onset	duration	label
13.895	2.56	eyes_closed	
24.875	2.56	eyes_closed	
36.875	2.56	eyes_closed	
48.875	2.56	eyes_closed	
55.085	2.56	eyes_closed	
67.085	2.56	eyes_closed	
73.04	2.56	eyes_closed	
85.04	2.56	eyes_closed	
97.04	2.56	eyes_closed	
109.04	2.56	eyes_closed	
121.04	2.56	eyes_closed	
133.04	2.56	eyes_closed	
145.04	2.56	eyes_closed	
157.04	2.56	eyes_closed	
169.04	2.56	eyes_closed	
193.04	2.56	eyes_closed	
205.04	2.56	eyes_closed	
217.04	2.56	eyes_closed	
234.98	2.56	eyes_closed	
246.98	2.56	eyes_closed	
