onset	duration	label
0.695	2.56	eyes_closed	
22.295	2.56	eyes_closed	
25.895	2.56	eyes_closed	
54.695	2.56	eyes_closed	
64.465	2.56	eyes_closed	
67.86	2.56	eyes_closed	
82.205	2.56	eyes_closed	
89.525	2.56	eyes_closed	
94.905	2.56	eyes_closed	
102.005	2.56	eyes_closed	
119.365	2.56	eyes_closed	
135.725	2.56	eyes_closed	
139.205	2.56	eyes_closed	
174.865	2.56	eyes_closed	
179.145	2.56	eyes_closed	
190.105	2.56	eyes_closed	
218.865	2.56	eyes_closed	
225.865	2.56	eyes_closed	
245.145	2.56	eyes_closed	
264.365	2.56	eyes_closed	
278.765	2.56	eyes_closed	
304.365	2.56	eyes_closed	
