onset	duration	label
44.045	2.56	eyes_closed	
56.045	2.56	eyes_closed	
59.36	2.56	eyes_closed	
95.36	2.56	eyes_closed	
107.36	2.56	eyes_closed	
119.36	2.56	eyes_closed	
143.36	2.56	eyes_closed	
175.505	2.56	eyes_closed	
191.645	2.56	eyes_closed	
196.925	2.56	eyes_closed	
208.925	2.56	eyes_closed	
220.925	2.56	eyes_closed	
227.435	2.56	eyes_closed	
233.465	2.56	eyes_closed	
242.75	2.56	eyes_closed	
252.65	2.56	eyes_closed	
264.65	2.56	eyes_closed	
276.65	2.56	eyes_closed	
288.65	2.56	eyes_closed	
312.65	2.56	eyes_closed	
