onset	duration	label
29.705	2.56	eyes_closed	
32.35	2.56	eyes_closed	
37.07	2.56	eyes_closed	
41.405	2.56	eyes_closed	
51.26	2.56	eyes_closed	
55.55	2.56	eyes_closed	
60.86	2.56	eyes_closed	
66.365	2.56	eyes_closed	
70.64	2.56	eyes_closed	
77.21	2.56	eyes_closed	
85.175	2.56	eyes_closed	
94.595	2.56	eyes_closed	
101.48	2.56	eyes_closed	
107.495	2.56	eyes_closed	
115.355	2.56	eyes_closed	
127.355	2.56	eyes_closed	
133.505	2.56	eyes_closed	
139.22	2.56	eyes_closed	
147.92	2.56	eyes_closed	
162.125	2.56	eyes_closed	
